variable,n_non_missing,levels_used,median,iqr,mean,sd,min,max,analysis_unit
g1,4,2,3.5,1,3.5,0.5773502691896257,3,4,rating
g2,4,3,2.5,1.25,2.75,0.9574271077563381,2,4,rating
g3,4,1,4,0,4,0,4,4,rating
g4,4,3,3.5,1.25,3.25,0.9574271077563381,2,4,rating
g5,4,3,3,0.5,3,0.816496580927726,2,4,rating
guess_confidence,4,2,3,0.25,3.25,0.5,3,4,rating
r1,4,1,2,0,2,0,2,2,rating
r2,4,2,2,0.5,2.5,1,2,4,rating
r3,4,1,2,0,2,0,2,2,rating
r4,4,2,4,0.5,3.5,1,2,4,rating
r5,4,1,2,0,2,0,2,2,rating
s1,4,2,2,0.25,2.25,0.5,2,3,rating
s2,4,2,2,0.25,2.25,0.5,2,3,rating
a1,4,2,2,0.25,2.25,0.5,2,3,transcript
a2,4,2,2,0.25,2.25,0.5,2,3,transcript
a3,4,1,3,0,3,0,3,3,transcript
a4,4,3,1.5,1.25,1.25,0.9574271077563381,0,2,transcript
a5,4,2,1.5,1,1.5,0.5773502691896257,1,2,transcript
a6,4,1,3,0,3,0,3,3,transcript
a7,4,2,2,0.25,2.25,0.5,2,3,transcript
a8,4,1,2,0,2,0,2,2,transcript
a9,4,2,0,0.25,0.25,0.5,0,1,transcript
